"Label (Grouping)","Robeson County, North Carolina!!Total!!Estimate","Robeson County, North Carolina!!Total!!Margin of Error","Robeson County, North Carolina!!Percent!!Estimate","Robeson County, North Carolina!!Percent!!Margin of Error","Robeson County, North Carolina!!Male!!Estimate","Robeson County, North Carolina!!Male!!Margin of Error","Robeson County, North Carolina!!Percent Male!!Estimate","Robeson County, North Carolina!!Percent Male!!Margin of Error","Robeson County, North Carolina!!Female!!Estimate","Robeson County, North Carolina!!Female!!Margin of Error","Robeson County, North Carolina!!Percent Female!!Estimate","Robeson County, North Carolina!!Percent Female!!Margin of Error"
"Total population","118,624","*****","(X)","(X)","57,441","±731","(X)","(X)","61,183","±731","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","8,918","±5","7.5%","±0.1","4,991","±501","8.7%","±0.8","3,927","±501","6.4%","±0.8"
"        5 to 9 years","7,583","±902","6.4%","±0.8","4,234","±689","7.4%","±1.2","3,349","±576","5.5%","±0.9"
"        10 to 14 years","8,780","±873","7.4%","±0.7","4,107","±690","7.1%","±1.2","4,673","±531","7.6%","±0.9"
"        15 to 19 years","9,110","±686","7.7%","±0.6","4,779","±521","8.3%","±0.9","4,331","±501","7.1%","±0.8"
"        20 to 24 years","8,479","±598","7.1%","±0.5","4,372","±377","7.6%","±0.7","4,107","±444","6.7%","±0.7"
"        25 to 29 years","7,478","±290","6.3%","±0.2","3,681","±4","6.4%","±0.1","3,797","±289","6.2%","±0.5"
"        30 to 34 years","7,267","±346","6.1%","±0.3","3,838","±166","6.7%","±0.3","3,429","±285","5.6%","±0.5"
"        35 to 39 years","5,805","±823","4.9%","±0.7","2,655","±489","4.6%","±0.9","3,150","±514","5.1%","±0.8"
"        40 to 44 years","8,657","±789","7.3%","±0.7","3,935","±545","6.9%","±0.9","4,722","±511","7.7%","±0.8"
"        45 to 49 years","6,452","±205","5.4%","±0.2","3,016","±156","5.3%","±0.3","3,436","±136","5.6%","±0.2"
"        50 to 54 years","7,018","±235","5.9%","±0.2","3,221","±125","5.6%","±0.2","3,797","±211","6.2%","±0.4"
"        55 to 59 years","5,933","±1,169","5.0%","±1.0","2,790","±1,009","4.9%","±1.8","3,143","±591","5.1%","±1.0"
"        60 to 64 years","8,162","±1,162","6.9%","±1.0","3,958","±1,037","6.9%","±1.8","4,204","±540","6.9%","±0.9"
"        65 to 69 years","6,364","±606","5.4%","±0.5","2,682","±404","4.7%","±0.7","3,682","±419","6.0%","±0.7"
"        70 to 74 years","4,880","±599","4.1%","±0.5","2,149","±404","3.7%","±0.7","2,731","±418","4.5%","±0.7"
"        75 to 79 years","4,147","±484","3.5%","±0.4","1,827","±293","3.2%","±0.5","2,320","±333","3.8%","±0.5"
"        80 to 84 years","2,128","±467","1.8%","±0.4","789","±289","1.4%","±0.5","1,339","±370","2.2%","±0.6"
"        85 years and over","1,463","±375","1.2%","±0.3","417","±211","0.7%","±0.4","1,046","±320","1.7%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","16,363","±402","13.8%","±0.3","8,341","±107","14.5%","±0.3","8,022","±395","13.1%","±0.6"
"        15 to 17 years","5,640","±406","4.8%","±0.3","3,192","±427","5.6%","±0.7","2,448","±305","4.0%","±0.5"
"        Under 18 years","30,921","±212","26.1%","±0.2","16,524","±709","28.8%","±0.9","14,397","±722","23.5%","±0.9"
"        18 to 24 years","11,949","±342","10.1%","±0.3","5,959","±4","10.4%","±0.1","5,990","±342","9.8%","±0.6"
"        15 to 44 years","46,796","±536","39.4%","±0.5","23,260","±503","40.5%","±0.6","23,536","±374","38.5%","±0.7"
"        16 years and over","91,829","±552","77.4%","±0.5","43,445","±521","75.6%","±0.8","48,384","±475","79.1%","±1.1"
"        18 years and over","87,703","±212","73.9%","±0.2","40,917","±291","71.2%","±0.9","46,786","±292","76.5%","±0.9"
"        21 years and over","82,088","±828","69.2%","±0.7","38,262","±615","66.6%","±1.2","43,826","±589","71.6%","±1.2"
"        60 years and over","27,144","±1,151","22.9%","±1.0","11,822","±1,038","20.6%","±1.8","15,322","±561","25.0%","±1.0"
"        62 years and over","24,092","±651","20.3%","±0.5","10,451","±608","18.2%","±1.0","13,641","±444","22.3%","±0.7"
"        65 years and over","18,982","±221","16.0%","±0.2","7,864","±79","13.7%","±0.2","11,118","±188","18.2%","±0.4"
"        75 years and over","7,738","±165","6.5%","±0.1","3,033","±79","5.3%","±0.1","4,705","±138","7.7%","±0.2"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","36.4","±0.5","(X)","(X)","33.0","±0.7","(X)","(X)","39.6","±1.3","(X)","(X)"
"        Sex ratio (males per 100 females)","93.9","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","72.6","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.6","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.0","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"