"Label (Grouping)","Robeson County, North Carolina!!Estimate","Robeson County, North Carolina!!Margin of Error","Robeson County, North Carolina!!Percent","Robeson County, North Carolina!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","49,740","±75","49,740","(X)"
"        Occupied housing units","44,345","±787","89.2%","±1.6"
"        Vacant housing units","5,395","±774","10.8%","±1.6"
"        Homeowner vacancy rate","1.6","±0.7","(X)","(X)"
"        Rental vacancy rate","3.9","±1.5","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","49,740","±75","49,740","(X)"
"        1-unit, detached","25,687","±1,327","51.6%","±2.7"
"        1-unit, attached","455","±284","0.9%","±0.6"
"        2 units","1,598","±421","3.2%","±0.8"
"        3 or 4 units","984","±330","2.0%","±0.7"
"        5 to 9 units","1,194","±351","2.4%","±0.7"
"        10 to 19 units","515","±370","1.0%","±0.7"
"        20 or more units","732","±307","1.5%","±0.6"
"        Mobile home","18,531","±1,176","37.3%","±2.4"
"        Boat, RV, van, etc.","44","±71","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","49,740","±75","49,740","(X)"
"        Built 2020 or later","1,880","±592","3.8%","±1.2"
"        Built 2010 to 2019","4,426","±885","8.9%","±1.8"
"        Built 2000 to 2009","5,661","±807","11.4%","±1.6"
"        Built 1990 to 1999","10,867","±870","21.8%","±1.7"
"        Built 1980 to 1989","7,093","±1,031","14.3%","±2.1"
"        Built 1970 to 1979","8,710","±915","17.5%","±1.8"
"        Built 1960 to 1969","4,103","±651","8.2%","±1.3"
"        Built 1950 to 1959","3,382","±549","6.8%","±1.1"
"        Built 1940 to 1949","2,147","±522","4.3%","±1.0"
"        Built 1939 or earlier","1,471","±407","3.0%","±0.8"
"ROOMS","","","",""
"    Total housing units","49,740","±75","49,740","(X)"
"        1 room","1,346","±319","2.7%","±0.6"
"        2 rooms","123","±137","0.2%","±0.3"
"        3 rooms","1,406","±506","2.8%","±1.0"
"        4 rooms","7,441","±902","15.0%","±1.8"
"        5 rooms","16,103","±1,184","32.4%","±2.4"
"        6 rooms","11,572","±996","23.3%","±2.0"
"        7 rooms","5,749","±863","11.6%","±1.7"
"        8 rooms","3,046","±630","6.1%","±1.3"
"        9 rooms or more","2,954","±566","5.9%","±1.1"
"        Median rooms","5.4","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","49,740","±75","49,740","(X)"
"        No bedroom","1,346","±319","2.7%","±0.6"
"        1 bedroom","1,674","±525","3.4%","±1.1"
"        2 bedrooms","11,137","±1,164","22.4%","±2.3"
"        3 bedrooms","27,776","±1,398","55.8%","±2.8"
"        4 bedrooms","6,661","±965","13.4%","±1.9"
"        5 or more bedrooms","1,146","±369","2.3%","±0.7"
"HOUSING TENURE","","","",""
"    Occupied housing units","44,345","±787","44,345","(X)"
"        Owner-occupied","29,538","±1,263","66.6%","±2.6"
"        Renter-occupied","14,807","±1,188","33.4%","±2.6"
"        Average household size of owner-occupied unit","2.63","±0.08","(X)","(X)"
"        Average household size of renter-occupied unit","2.51","±0.13","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","44,345","±787","44,345","(X)"
"        Moved in 2023 or later","4,853","±893","10.9%","±2.0"
"        Moved in 2020 to 2022","8,279","±1,111","18.7%","±2.5"
"        Moved in 2010 to 2019","13,447","±1,230","30.3%","±2.7"
"        Moved in 2000 to 2009","6,594","±949","14.9%","±2.2"
"        Moved in 1990 to 1999","5,727","±705","12.9%","±1.5"
"        Moved in 1989 and earlier","5,445","±767","12.3%","±1.7"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","44,345","±787","44,345","(X)"
"        No vehicles available","3,648","±615","8.2%","±1.4"
"        1 vehicle available","12,647","±1,275","28.5%","±2.9"
"        2 vehicles available","16,108","±1,426","36.3%","±3.1"
"        3 or more vehicles available","11,942","±1,196","26.9%","±2.6"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","44,345","±787","44,345","(X)"
"        Utility gas","3,340","±667","7.5%","±1.5"
"        Bottled or tank gas (propane, butane, etc.)","3,637","±619","8.2%","±1.4"
"        Electricity","36,768","±1,180","82.9%","±2.1"
"        Fuel oil, kerosene, etc.","111","±105","0.3%","±0.2"
"        Coal or coke","0","±226","0.0%","±0.5"
"        Wood","354","±244","0.8%","±0.6"
"        Solar energy","0","±226","0.0%","±0.5"
"        Other fuel","0","±226","0.0%","±0.5"
"        No fuel used","135","±130","0.3%","±0.3"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","44,345","±787","44,345","(X)"
"        Lacking complete plumbing facilities","48","±62","0.1%","±0.1"
"        Lacking complete kitchen facilities","106","±125","0.2%","±0.3"
"        No telephone service available","105","±129","0.2%","±0.3"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","44,345","±787","44,345","(X)"
"        1.00 or less","43,073","±835","97.1%","±1.0"
"        1.01 to 1.50","633","±316","1.4%","±0.7"
"        1.51 or more","639","±337","1.4%","±0.8"
"VALUE","","","",""
"    Owner-occupied units","29,538","±1,263","29,538","(X)"
"        Less than $50,000","6,521","±875","22.1%","±2.8"
"        $50,000 to $99,999","7,778","±1,045","26.3%","±3.1"
"        $100,000 to $149,999","4,504","±789","15.2%","±2.7"
"        $150,000 to $199,999","4,017","±763","13.6%","±2.5"
"        $200,000 to $299,999","4,299","±719","14.6%","±2.4"
"        $300,000 to $499,999","1,960","±476","6.6%","±1.6"
"        $500,000 to $999,999","405","±227","1.4%","±0.8"
"        $1,000,000 or more","54","±76","0.2%","±0.3"
"        Median (dollars)","104,000","±8,671","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","29,538","±1,263","29,538","(X)"
"        Housing units with a mortgage","9,413","±974","31.9%","±3.2"
"        Housing units without a mortgage","20,125","±1,341","68.1%","±3.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","9,413","±974","9,413","(X)"
"        Less than $500","247","±155","2.6%","±1.7"
"        $500 to $999","2,203","±577","23.4%","±5.7"
"        $1,000 to $1,499","3,671","±712","39.0%","±6.7"
"        $1,500 to $1,999","2,162","±662","23.0%","±6.4"
"        $2,000 to $2,499","634","±317","6.7%","±3.2"
"        $2,500 to $2,999","449","±259","4.8%","±2.7"
"        $3,000 or more","47","±75","0.5%","±0.8"
"        Median (dollars)","1,302","±94","(X)","(X)"
"    Housing units without a mortgage","20,125","±1,341","20,125","(X)"
"        Less than $250","2,806","±626","13.9%","±2.9"
"        $250 to $399","6,997","±998","34.8%","±4.0"
"        $400 to $599","5,717","±785","28.4%","±3.9"
"        $600 to $799","2,371","±562","11.8%","±2.7"
"        $800 to $999","1,022","±370","5.1%","±1.8"
"        $1,000 or more","1,212","±466","6.0%","±2.3"
"        Median (dollars)","408","±27","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","9,277","±967","9,277","(X)"
"        Less than 20.0 percent","4,190","±720","45.2%","±6.4"
"        20.0 to 24.9 percent","1,042","±439","11.2%","±4.7"
"        25.0 to 29.9 percent","1,245","±434","13.4%","±4.4"
"        30.0 to 34.9 percent","551","±246","5.9%","±2.6"
"        35.0 percent or more","2,249","±593","24.2%","±5.8"
"        Not computed","136","±145","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","19,274","±1,335","19,274","(X)"
"        Less than 10.0 percent","8,024","±1,092","41.6%","±4.6"
"        10.0 to 14.9 percent","3,301","±704","17.1%","±3.5"
"        15.0 to 19.9 percent","2,140","±595","11.1%","±3.0"
"        20.0 to 24.9 percent","1,245","±390","6.5%","±1.9"
"        25.0 to 29.9 percent","1,160","±367","6.0%","±1.9"
"        30.0 to 34.9 percent","796","±345","4.1%","±1.8"
"        35.0 percent or more","2,608","±618","13.5%","±3.1"
"        Not computed","851","±307","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","13,362","±1,112","13,362","(X)"
"        Less than $500","2,371","±568","17.7%","±4.1"
"        $500 to $999","6,950","±858","52.0%","±4.8"
"        $1,000 to $1,499","3,140","±621","23.5%","±4.1"
"        $1,500 to $1,999","654","±303","4.9%","±2.2"
"        $2,000 to $2,499","0","±226","0.0%","±1.6"
"        $2,500 to $2,999","67","±111","0.5%","±0.8"
"        $3,000 or more","180","±211","1.3%","±1.6"
"        Median (dollars)","835","±50","(X)","(X)"
"        No rent paid","1,445","±530","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","12,465","±1,085","12,465","(X)"
"        Less than 15.0 percent","2,514","±489","20.2%","±3.7"
"        15.0 to 19.9 percent","1,149","±449","9.2%","±3.4"
"        20.0 to 24.9 percent","1,291","±459","10.4%","±3.5"
"        25.0 to 29.9 percent","2,006","±546","16.1%","±4.2"
"        30.0 to 34.9 percent","715","±304","5.7%","±2.5"
"        35.0 percent or more","4,790","±784","38.4%","±5.1"
"        Not computed","2,342","±672","(X)","(X)"